name,value
06MAGNA,"2,6800"
08OCTAVA,"1,0100"
11BIT,"524,0000"
3RGAMES,"0,4500"
ABPL,"37,6000"
ACAUTOGAZ,"25,2000"
ACTION,"13,7800"
ADIUVO,"1,1150"
AGORA,"5,1300"
AGROTON,"4,4000"
AIGAMES,"1,8000"
AILLERON,"11,7000"
AIRWAY,"0,3450"
ALIOR,"24,6000"
ALLEGRO,"21,8800"
ALTA,"1,3000"
ALTUS,"1,2800"
ALUMETAL,"68,4000"
AMBRA,"19,8000"
AMICA,"67,8000"
AMPLI,"1,0000"
AMREST,"18,9800"
ANSWEAR,"18,6200"
APATOR,"13,5800"
APLISENS,"12,8000"
APSENERGY,"2,6800"
ARCHICOM,"15,8500"
ARCTIC,"17,7000"
ARTERIA,"8,9000"
ARTIFEX,"6,0800"
ASBIS,"15,3000"
ASMGROUP,"0,4500"
ASSECOBS,"31,0000"
ASSECOPOL,"71,2000"
ASSECOSEE,"44,0000"
ASTARTA,"21,4000"
ATAL,"28,8000"
ATENDE,"2,4000"
ATLANTAPL,"8,1000"
ATLANTIS,"1,0300"
ATLASEST,"2,3600"
ATMGRUPA,"3,0700"
ATREM,"2,9500"
AUGA,"2,4200"
AUTOPARTN,"11,7000"
BAHOLDING,"0,5590"
BBIDEV,"4,9800"
BEDZIN,"5,3000"
BENEFIT,"608,0000"
BERLING,"4,6000"
BEST,"20,0000"
BETACOM,"7,2000"
BIGCHEESE,"36,0000"
BIGCHEESE-PDA,"33,3300"
BIK,"22,4000"
BIOCELTIX,"33,6000"
BIOMAXIMA,"23,9500"
BIOMEDLUB,"6,1880"
BIOPLANET,"9,9000"
BIOPLANET-PDA,"20,0000"
BIOTON,"3,5850"
BNPPPL,"50,6000"
BOGDANKA,"33,9800"
BOOMBIT,"9,6000"
BORYSZEW,"4,2350"
BOS,"6,8000"
BOWIM,"9,9300"
BRAND24,"22,5000"
BRASTER,"0,7020"
BUDIMEX,"235,0000"
BUMECH,"60,4000"
CAPITAL,"1,1900"
CAPTORTX,"138,0000"
CAPTORTX-PDA,"182,0000"
CASPAR,"17,9000"
CAVATINA,"20,4000"
CCC,"39,0600"
CCENERGY,"0,3900"
CDPROJEKT,"108,4000"
CDRL,"17,8500"
CELTIC,"7,2600"
CEZ,"178,7000"
CFI,"0,2490"
CIECH,"33,6000"
CIGAMES,"2,4250"
CITYSERV,"8,5600"
CLNPHARMA,"12,9000"
CNT,"17,0000"
COALENERG,"2,3900"
COGNOR,"3,4500"
COMARCH,"148,8000"
COMP,"42,8000"
COMPERIA,"4,5000"
COMPREMUM,"2,1200"
CORMAY,"0,8850"
CPGROUP,"10,2000"
CREEPYJAR,"602,0000"
CREOTECH,"123,0000"
CREOTECH-PDA,"122,2000"
CYFRPLSAT,"17,8400"
CZTOREBKA,"0,6000"
DADELO,"8,3200"
DATAWALK,"142,5000"
DEBICA,"54,2000"
DECORA,"28,5000"
DEKPOL,"22,0000"
DELKO,"15,0500"
DEVELIA,"2,0600"
DGA,"8,0000"
DIGITANET,"10,0000"
DIGITREE,"12,8000"
DINOPL,"307,5000"
DOMDEV,"95,8000"
DROZAPOL,"5,7400"
ECHO,"3,0600"
EDINVEST,"2,9000"
EFEKT,"5,2000"
EKOEXPORT,"1,7750"
ELBUDOWA,"0,4350"
ELEKTROTI,"5,6600"
ELKOP,"0,4095"
ELZAB,"1,6550"
EMCINSMED,"11,9000"
ENAP,"1,9800"
ENEA,"6,4900"
ENELMED,"16,0000"
ENERGA,"6,5800"
ENERGOINS,"0,6340"
ENTER,"21,1000"
ERBUD,"26,1500"
ERG,"50,0000"
ESOTIQ,"21,2000"
EUCO,"1,1600"
EUROCASH,"11,9900"
EUROHOLD,"4,8000"
EUROTEL,"48,5000"
FAMUR,"3,2800"
FASING,"13,5000"
FASTFIN,"0,5700"
FEERUM,"5,5500"
FERRO,"23,1000"
FERRUM,"3,4600"
FMG,"15,4000"
FON,"4,6200"
FORTE,"25,2000"
GAMEOPS,"8,1800"
GAMFACTOR,"5,4800"
GETIN,"1,1600"
GETINOBLE,"0,1477"
GIGROUP,"1,3000"
GLCOSMED,"2,4700"
GOBARTO,"7,6000"
GPW,"32,9000"
GREENX,"0,8500"
GRODNO,"15,4400"
GRUPAAZOTY,"35,4000"
